Commit_Id,PR,Repo
bdcf95107f9718389810045655cacd27f5d511da,TM-1749 Add property to enable EH cache for permissions,saas-platform-ms-tenant-manager
c187d4b3a294e591dcd1b60f49557d75c0c82772,TM-1581 : Uncommented the ITs which were failing due to wfm-acd issue,saas-platform-ms-tenant-manager
b8677405b4d337b8900305e5ce20bfb1aa1809b3,Pull request #775: UH-6599 - Upgraded platform-lib to latest version 1.54,saas-platform-ms-tenant-manager
1c7aaa3a072fe2711f49681174803c96c32ee88b,Pull request #781: TM-1622 : Ignore one test case which cause problem in build,saas-platform-ms-tenant-manager
3560fa90389317379327ade28972e6f71949fc9d,TM-1622 : Ignore one test case which cause problem in build,saas-platform-ms-tenant-manager
156b36abcd37ca3c1f6f554966e5c1031d2753c0,TM-1652 : initial commit,saas-platform-ms-tenant-manager
915b5949c165ddb585328ebdbfd30f70f23d2f2a,Pull request #777: TM-1365 Update processing flag,saas-platform-ms-tenant-manager
0ffc14fb5ced50c1b5dd5de8305b2f89631731de,Pull request #776: Feature/TM-1366 backend implement new kinesis reader and processor for,saas-platform-ms-tenant-manager
c73d871efe09c7346efe0548094e355f8dbbabfa,Pull request #774: TM-1622 : Integration Test updated for subtenant api.,saas-platform-ms-tenant-manager
1f6dc19370d36a233b5fe6641168d9e7073c62d0,TM-1272 : version changes for  authentication-manager from 1.218            to 1.367  and,saas-platform-ms-tenant-manager
6e325e73b5a0d67e84d73fc8040094242fabd940,Pull request #778: TM-1366 Modify ScheduledUserCountProcessor to create UserCustomBase ent,saas-platform-ms-tenant-manager
f10f041b4816479fd96382c259e32521255dc754,Removed unwanted dependency,saas-platform-ms-tenant-manager
d66b03c76249d10a3094f5c8e4d719558aecda24,TM-1366 Modify ScheduledUserCountProcessor to create UserCustomBase entry for non active t,saas-platform-ms-tenant-manager
b121fa81b7e879bc838815b002bf3d2b2f05b66f,TM-1365 Update processing flag,saas-platform-ms-tenant-manager
19d5540241ba7bab8f9622c7b26c2cb1fe29cc63,TM-1597 : Updated CRC to fine tune the Major Alert,saas-platform-ms-tenant-manager
4542233f5f853cb48bd715c492cf6cafd1c3ea03,Merge branch 'master' into feature/TM-1366-backend-implement-new-kinesis-reader-and-proces,saas-platform-ms-tenant-manager
f0ae71eafe1e2ec10efd0094df8327ec4aed9434,UH-6599 - Upgraded platform-lib to latest version 1.54,saas-platform-ms-tenant-manager
0c2325f5c4d91740aed9e7bb5dac68de9bbac18d,Merge branch 'master' of http://tlvgit02:7990/scm/wfo/saas-platform-ms-tenant-manager into,saas-platform-ms-tenant-manager
d2a8d69b8393e5d8127b92c659a287570de877d6,TM-1366 Change warn log to debug to avoid huge number of logs,saas-platform-ms-tenant-manager
39b0dea8d4dc7ffd5478d19baa8b31533a5b4cb2,TM-1366 Add UTs for remaining event handlers and other classes,saas-platform-ms-tenant-manager
1fa82e3bf65845126da9144c165a8b3650f11815,TM-1366 Fix UTs and add UTs for UserBillableEventHandler,saas-platform-ms-tenant-manager
fecb291843ed54c2c23befcc23cb61016fa9bbf2,TM-1622 : updated some variable name and class names as per standards.,saas-platform-ms-tenant-manager
41d5b8b4717f8ad48e0075a67cdaa8fb144777dd,TM-1622 : Added DTO object for respose to get with appname and count,saas-platform-ms-tenant-manager
e5aa71b6495d7b113251c737624f862862756989,TM-1366 Add check for tenant status and type to only process events for ACTIVE and CUSTOME,saas-platform-ms-tenant-manager
